decimal/symbols@2, fr, 88B, 40B, 48112ad6c819c908
decimal/symbols@2, fr-CA, -> af
decimal/symbols@2, fr-LU, -> ast
decimal/symbols@2, fr-MA, -> ast
decimal/symbols@2, fy, -> ast
decimal/symbols@2, gl, -> ast
decimal/symbols@2, gu, -> as/latn
decimal/symbols@2, gu/gujr, 86B, 58B, 4c51039357ec2fd2
decimal/symbols@2, he, -> ar
decimal/symbols@2, hi, -> as/latn
decimal/symbols@2, hi/deva, -> brx/deva
decimal/symbols@2, hr, -> eu
decimal/symbols@2, hsb, -> ast
decimal/symbols@2, hu, -> be
decimal/symbols@2, hy, -> af
decimal/symbols@2, ia, -> es
decimal/symbols@2, id, -> ast
decimal/symbols@2, ie, -> be
decimal/symbols@2, is, -> ast
decimal/symbols@2, it, -> es
decimal/symbols@2, it-CH, 88B, 40B, b2ffa403fa9a998d
decimal/symbols@2, jv, -> ast
decimal/symbols@2, jv/java, 86B, 58B, 8b06e5b9eeeb16a
decimal/symbols@2, ka, -> be
decimal/symbols@2, kea, -> af
decimal/symbols@2, kgp, -> ast
decimal/symbols@2, kk, -> af
decimal/symbols@2, km/khmr, 86B, 58B, a663c12972aad104
decimal/symbols@2, kn/knda, 86B, 58B, 1f4f9f2ed95e267e
decimal/symbols@2, kok-Latn, -> as/latn
decimal/symbols@2, kok/deva, -> bgc
decimal/symbols@2, ks, 100B, 62B, fed8998d6bf53a67
decimal/symbols@2, ks/latn, 87B, 39B, 5629b3d9a8abf677
decimal/symbols@2, ku, -> ast
decimal/symbols@2, kxv, -> as/latn
decimal/symbols@2, kxv-Deva, -> as/latn
decimal/symbols@2, kxv-Deva/deva, -> brx/deva
decimal/symbols@2, kxv-Orya, -> as/latn
decimal/symbols@2, kxv-Orya/orya, 86B, 58B, 3d884966c963fd6b
decimal/symbols@2, kxv-Telu, -> as/latn
decimal/symbols@2, kxv-Telu/telu, 86B, 58B, 16629c8c85cb1bf1
decimal/symbols@2, ky, -> af
decimal/symbols@2, lb, -> ast
decimal/symbols@2, lij, -> ast
decimal/symbols@2, lmo, 88B, 40B, 400b3fd9bd8c5c23
decimal/symbols@2, lo, -> ast
